id,date,time,user_raw,venue_raw,venue_norm,purpose,headcount,amount,per_person,method,year_month,hour,flags
2025-11-40-6fcaa1,2025-11-19,19:56:01,복지건설위원장,북경영빈관,북경영빈관,현안 관련 유관기관 관계자 간담회,5,174000,34800,카드,2025-11,19,
2025-11-41-08bcad,2025-11-20,18:06:29,의장,전시회제기본점,전시회제기본점,민원 및 현안 관련 유관단체 관계자 간담회,12,296000,24666.666666666668,카드,2025-11,18,
2025-11-42-535a16,2025-11-21,13:18:57,부의장,부산횟집,부산횟집,의회현안업무 논의에 따른 관계자 간담회,2,70000,35000,카드,2025-11,13,
2025-11-43-f13d95,2025-11-24,12:17:28,복지건설위원장,원성집,원성집,민원 및 현안 관련 유관기관 관계자 간담회,3,75000,25000,카드,2025-11,12,
2025-11-44-e917fb,2025-11-24,13:01:34,행정기획위원장,스마일 Smile,스마일Smile,현안 관련 관계자 간담회,5,55000,11000,카드,2025-11,13,
2025-11-45-492845,2025-11-24,13:24:46,의장,태화루앤도화,태화루앤도화,현안업무 추진 사무국 직원 격려 간담회,4,48000,12000,카드,2025-11,13,
2025-11-46-0df9be,2025-11-24,13:29:25,의장,카페비,카페비,현안업무 추진 사무국 직원 격려 간담회,4,15000,3750,카드,2025-11,13,
2025-11-47-27fc24,2025-11-24,18:53:14,의장,풍년해물탕,풍년해물탕,현안 관련 관계자 간담회,12,264000,22000,카드,2025-11,18,
2025-11-48-59d986,2025-11-24,20:23:30,복지건설위원장,동강오리,동강오리,현안 관련 관계자 간담회,4,124000,31000,카드,2025-11,20,
2025-11-49-8e4027,2025-11-25,19:04:41,의장,본가남원추어탕,본가남원추어탕,현안 관련 관계자 간담회,12,169000,14083.333333333334,카드,2025-11,19,
2025-11-50-35ddd6,2025-11-26,19:18:42,의장,김시우초밥,김시우초밥,민원 및 현안 관련 유관단체 관계자 간담회,10,161000,16100,카드,2025-11,19,
2025-11-51-00dc08,2025-11-27,18:33:30,의장,주문진,주문진,민원 및 현안 관련 유관단체 관계자 간담회,13,290000,22307.69230769231,카드,2025-11,18,
2025-11-52-e72906,2025-11-28,13:03:56,의장,청마루 한우,청마루한우,지역민원 및 현안 논의에 따른 관계자 간담회,8,198000,24750,카드,2025-11,13,
2025-11-53-f114e6,2025-11-28,19:30:42,의장,아우내병천순대,아우내병천순대,현안 관련 관계자 간담회,18,272000,15111.111111111111,카드,2025-11,19,
2025-12-1-ab55c5,2025-12-01,18:42:11,의장,다돈왕족발,다돈왕족발,민원 및 현안 관련 유관단체 관계자 간담회,16,281000,17562.5,카드,2025-12,18,
2025-12-2-8be85c,2025-12-02,13:09:15,의장,경성농장,경성농장,민원 및 현안 관련 유관단체 관계자 간담회,23,310000,13478.260869565218,카드,2025-12,13,
2025-12-3-e7acb8,2025-12-02,18:24:11,의장,짬뽕관(장한평역점),짬뽕관(장한평역점),현안업무 추진 사무국 직원 격려 간담회,2,25000,12500,카드,2025-12,18,
2025-12-4-3189de,2025-12-02,18:44:46,부의장,김연례 대원한방능이,김연례대원한방능이,현안 관련 관계자 간담회,12,289000,24083.333333333332,카드,2025-12,18,
2025-12-5-8f0fd0,2025-12-03,18:32:37,의장,다이닝원 청량리점,다이닝원청량리점,현안 관련 관계자 간담회,8,255200,31900,카드,2025-12,18,
2025-12-6-e6cf60,2025-12-03,19:10:32,부의장,(주)유성집,(주)유성집,의회현안업무 논의에 따른 관계자 간담회,3,102000,34000,카드,2025-12,19,
2025-12-7-def9b1,2025-12-04,19:20:23,의장,박만배아리랑보쌈 장안점,박만배아리랑보쌈장안점,현안 관련 관계자 간담회,3,99000,33000,카드,2025-12,19,
2025-12-8-aa12e0,2025-12-05,19:24:29,의장,북배산흑염소요리,북배산흑염소요리,민원 및 현안 관련 관계자 간담회,7,210000,30000,카드,2025-12,19,
2025-12-9-7016da,2025-12-08,19:24:05,의장,소문난집,소문난집,현안 관련 관계자 간담회,23,285000,12391.304347826086,카드,2025-12,19,
2025-12-10-095acd,2025-12-08,20:45:58,부의장,수제왕갈비,수제왕갈비,민원 및 현안 관련 관계자 간담회,13,304000,23384.615384615383,카드,2025-12,20,
2025-12-11-8c6869,2025-12-09,12:24:55,의장,네남자,네남자,현안 관련 관계자 간담회,18,186500,10361.111111111111,카드,2025-12,12,
2025-12-12-d2aa20,2025-12-09,18:58:42,의장,조영환의 대양한방숯,조영환의대양한방숯,민원 및 현안 관련 유관단체 관계자 간담회,15,357000,23800,카드,2025-12,18,
2025-12-13-2acbaf,2025-12-11,18:39:07,의장,장어시대,장어시대,현안 관련 관계자 간담회,7,258000,36857.142857142855,카드,2025-12,18,
2025-12-14-46e63d,2025-12-12,12:04:01,의장,(주)태성푸드,(주)태성푸드,민원 및 현안 관련 유관단체 관계자 간담회,15,263000,17533.333333333332,카드,2025-12,12,
2025-12-15-04528e,2025-12-12,21:22:15,의장,풍천만물장어,풍천만물장어,민원 및 현안 관련 관계자 간담회,3,97900,32633.333333333332,카드,2025-12,21,
2025-12-16-099aef,2025-12-15,11:48:36,부의장,광주회관,광주회관,현안 관련 유관기관 관계자 간담회,6,100000,16666.666666666668,카드,2025-12,11,
2025-12-17-14acf5,2025-12-15,18:46:27,의장,이천농장,이천농장,현안 관련 관계자 간담회,12,286000,23833.333333333332,카드,2025-12,18,
2025-12-18-9ad86a,2025-12-16,13:07:58,의장,최강낙지,최강낙지,현안 관련 관계자 간담회,7,127000,18142.85714285714,카드,2025-12,13,
2025-12-19-a7bf5c,2025-12-16,19:07:45,의장,용두똥돼지,용두똥돼지,현안 관련 관계자 간담회,7,160000,22857.14285714286,카드,2025-12,19,
2025-12-20-53dc7b,2025-12-16,21:57:46,부의장,씨마트,씨마트,민원 및 현안 관련 관계자 간담회,4,128000,32000,카드,2025-12,21,
2025-12-21-06119f,2025-12-17,11:50:23,부의장,용두동동태탕동태찜,용두동동태탕동태찜,의회현안업무 논의에 따른 관계자 간담회,3,27000,9000,카드,2025-12,11,
2025-12-22-e28c6c,2025-12-17,12:38:44,부의장,남원,남원,현안 관련 유관기관 관계자 간담회,10,111000,11100,카드,2025-12,12,
2025-12-23-9811d5,2025-12-18,13:53:01,복지건설위원장,엄지집밥,엄지집밥,현안 관련 관계자 간담회,15,370000,24666.666666666668,카드,2025-12,13,
2025-12-24-92110f,2025-12-18,19:38:59,의장,장어시대,장어시대,현안 관련 관계자 간담회,7,236000,33714.28571428572,카드,2025-12,19,
2025-12-25-b4e7d6,2025-12-19,11:42:40,부의장,광주회관,광주회관,지역현안 관련 유관기관 관계자 간담회,9,160000,17777.777777777777,카드,2025-12,11,
2025-12-26-b0f69f,2025-12-19,13:26:42,의장,네남자,네남자,민원 및 현안 관련 관계자 간담회,6,126000,21000,카드,2025-12,13,
2025-12-27-7fff2a,2025-12-19,15:49:21,복지건설위원장,우돈마루,우돈마루,민원 및 현안 관련 관계자 간담회,12,253000,21083.333333333332,카드,2025-12,15,
2025-12-28-f199a1,2025-12-19,19:24:05,의장,원성집,원성집,현안업무 추진 사무국 직원 격려 간담회,5,60000,12000,카드,2025-12,19,
2025-12-29-824707,2025-12-22,13:57:25,복지건설위원장,동강오리,동강오리,현안 관련 관계자 간담회,5,168000,33600,카드,2025-12,13,
2025-12-30-224d74,2025-12-23,11:18:16,복지건설위원장,동강오리,동강오리,현안 관련 유관기관 관계자 간담회,9,285000,31666.666666666668,카드,2025-12,11,
2025-12-31-274be5,2025-12-23,13:08:29,행정기획위원장,갈비명가이상답십리,갈비명가이상답십리,민원 및 현안 관련 유관단체 관계자 간담회,15,480000,32000,카드,2025-12,13,
2025-12-32-d60b9c,2025-12-23,13:40:06,부의장,오뚝식당,오뚝식당,지역현안 관련 유관기관 관계자 간담회,19,250000,13157.894736842105,카드,2025-12,13,
